timestamp,high,low,open,volumeFrom,volumeTo,close
1314403200,6.145,6.008,6.008,1.638,9.873,6.145
1314489600,6.398,6.201,6.145,0.4928,3.098,6.398
1314576000,6.398,6.398,6.398,0,0,6.398
1314662400,6.398,6.398,6.398,0,0,6.398
1314748800,6.398,6.398,6.398,0,0,6.398
1314835200,6.398,6.398,6.398,0,0,6.398
1314921600,5.792,5.699,6.398,16.88,97.64,5.785
1315008000,5.838,5.834,5.785,2.068,12.07,5.834
1315094400,5.834,5.834,5.834,0,0,5.834
1315180800,5.196,5.031,5.834,99.99,505.66,5.031
1315267200,4.9,4.536,5.031,132.09,622.79,4.536
1315353600,5.247,4.627,4.536,112.86,575.31,4.948
1315440000,5.082,4.77,4.948,266.64,1318.09,4.77
1315526400,4.75,3.099,4.77,1196.66,4784.44,3.5
1315612800,3.756,3.486,3.5,57.53,203.2,3.487
1315699200,5.01,3.3,3.487,472.76,2073.86,3.656
1315785600,4.764,4.08,3.656,350.46,1577.13,4.377
1315872000,4.528,4.25,4.377,436.38,1920.86,4.34
1315958400,4.357,4,4.34,971.31,4058.7,4.1
1316044800,4.05,3.319,4.1,2928.41,10920.57,3.5
1316131200,3.632,3.437,3.5,460.35,1649.81,3.5
1316217600,3.649,3.5,3.5,256,920.63,3.573
1316304000,4.048,3.46,3.573,1087.94,4154.81,3.747
1316390400,4.149,3.709,3.747,1962.12,7633.74,4
1316476800,5.072,4.1,4,7716.39,36051.19,4.469
1316563200,4.566,3.8,4.469,1545.5,6305.55,4.067
1316649600,4.224,3.969,4.067,756.06,3108.68,4.08
1316736000,4.227,4,4.08,327.74,1345.7,4.227
1316822400,4.207,4.067,4.227,82.29,342.22,4.1
1316908800,4.12,4,4.1,196.78,792.06,4
1316995200,4.088,3.544,4,1166.78,4375.41,3.7
1317081600,3.85,3.65,3.7,1061.53,3948.82,3.675
1317168000,3.72,3.45,3.675,2553.71,9205.74,3.59
1317254400,3.59,3.5,3.59,479.2,1706.66,3.55
1317340800,3.97,3.5,3.55,904.91,3424.04,3.85
1317427200,3.879,3.65,3.85,495.75,1880.3,3.81
1317513600,3.81,3.72,3.81,156.3,589.79,3.781
1317600000,3.78,3.7,3.781,451.37,1690.37,3.7
1317686400,3.821,3.746,3.7,357.99,1357.89,3.75
1317772800,3.82,3.65,3.75,893.17,3349.71,3.676
1317859200,3.743,3.45,3.676,1851.38,6642.99,3.55
1317945600,3.59,2.9,3.55,2103.29,7135.54,3.293
1318032000,3.283,2.872,3.293,669.78,2007.58,2.89
1318118400,3.18,2.978,2.89,292.98,901.01,2.978
1318204800,3.2,3,2.978,439.84,1376.5,3.09
1318291200,3.091,2.881,3.09,1525.93,4519.17,2.929
1318377600,3.19,2.91,2.929,1335.8,4023.32,3.06
1318464000,3.1,2.96,3.06,1526.22,4647.58,2.96
1318550400,3.062,2.945,2.96,1573.31,4751.48,2.97
1318636800,2.97,2.702,2.97,1053.61,2963,2.76
1318723200,2.8,2.51,2.76,402.14,1080.29,2.587
1318809600,2.776,1.686,2.587,15732.46,36122.65,1.921
1318896000,2.14,1.72,1.921,2911.28,5580.33,1.754
1318982400,1.81,1.5,1.754,3660.77,6175.49,1.62
1319068800,1.772,1.597,1.62,6666.32,11524.16,1.74
1319155200,1.934,1.75,1.74,1662.54,3098.29,1.81
1319241600,2.43,1.85,1.81,3876.1,8633.85,2.256
1319328000,2.377,2.154,2.256,2884.4,6638.58,2.274
1319414400,2.35,1.824,2.274,3694.29,7492.09,1.872
1319500800,2.14,1.8,1.872,2494.37,4898.37,2
1319587200,2.08,1.929,2,1637.1,3317.07,1.98
1319673600,2.16,1.957,1.98,1330.71,2732.77,2.16
1319760000,2.329,2.085,2.16,1588.92,3571.32,2.329
1319846400,2.678,2.201,2.329,2284.1,5649.14,2.574
1319932800,2.6,2.206,2.574,364.99,864.46,2.303
1320019200,2.326,2.203,2.303,555.87,1261.94,2.301
1320105600,2.416,2.23,2.301,967.13,2240.37,2.32
1320192000,2.44,2.304,2.32,510.78,1224.27,2.42
1320278400,2.419,2.301,2.42,1716.77,4025.22,2.31
1320364800,2.381,2.21,2.31,824.14,1927.62,2.27
1320451200,2.32,2.064,2.27,259.1,560.56,2.176
1320537600,2.217,2.098,2.176,298.91,643.71,2.17
1320624000,2.236,2.17,2.17,322.17,705.7,2.21
1320710400,2.338,2.17,2.21,735.29,1673.01,2.234
1320796800,2.306,2.146,2.234,816.9,1806.91,2.15
1320883200,2.182,2.1,2.15,526.51,1125.73,2.117
1320969600,2.22,2.117,2.117,897.22,1944.48,2.22
1321056000,2.27,2.166,2.22,374.53,839.09,2.166
1321142400,2.207,2.125,2.166,205.14,445.19,2.17
1321228800,2.19,1.578,2.17,3084.43,5605.9,1.578
1321315200,1.778,1.588,1.578,657.34,1134.86,1.718
1321401600,1.922,1.72,1.718,774.76,1410.53,1.922
1321488000,1.92,1.519,1.922,2017.21,3435.46,1.694
1321574400,1.725,1.521,1.694,2273.86,3744.2,1.521
1321660800,1.649,1.51,1.521,106.69,166.09,1.618
1321747200,1.79,1.617,1.618,474.1,792.23,1.636
1321833600,1.732,1.61,1.636,1299.39,2177.33,1.732
1321920000,1.775,1.708,1.732,497.59,862.69,1.75
1322006400,1.763,1.693,1.75,755.73,1305.09,1.7
1322092800,1.906,1.72,1.7,480.48,845.28,1.85
1322179200,1.892,1.752,1.85,4183.58,7735.71,1.825
1322265600,1.899,1.851,1.825,282.41,532.48,1.852
1322352000,1.904,1.852,1.852,190.85,359.42,1.852
1322438400,1.951,1.862,1.852,679.52,1300.64,1.915
1322524800,2.25,1.944,1.915,1395.64,2935.86,2.13
1322611200,2.298,2.1,2.13,3631.42,7939.24,2.205
1322697600,2.36,2.187,2.205,721.56,1641.27,2.28
1322784000,2.363,2.28,2.28,1259.5,2940.33,2.3
1322870400,2.3,2.063,2.3,3044.33,6594.77,2.063
1322956800,2.15,1.977,2.063,501.99,1044.29,2.116
1323043200,2.204,2.116,2.116,1001.42,2182.57,2.144
1323129600,2.3,2.193,2.144,692.9,1550.03,2.234
1323216000,2.31,2.189,2.234,395.61,886.96,2.189
1323302400,2.292,2.198,2.189,1712.77,3870.23,2.259
1323388800,2.3,2.234,2.259,555.64,1267.06,2.234
1323475200,2.343,2.223,2.234,451.62,1035.63,2.343
1323561600,2.495,2.293,2.343,450.38,1084.13,2.48
1323648000,2.49,2.313,2.48,433.28,1043.38,2.342
1323734400,2.492,2.36,2.342,137.72,338.62,2.421
1323820800,2.488,2.323,2.421,1802.62,4404.94,2.41
1323907200,2.5,2.4,2.41,789.03,1952.65,2.46
1323993600,2.516,2.445,2.46,902.23,2249.66,2.45
1324080000,2.512,2.401,2.45,383.63,944.71,2.43
1324166400,2.46,2.409,2.43,59.99,147.49,2.46
1324252800,2.79,2.46,2.46,2195.56,5837,2.695
1324339200,3.36,2.695,2.695,1946.32,6033.36,3.124
1324425600,3.12,2.96,3.124,1586.73,4872.28,3.015
1324512000,3.118,2.764,3.015,827.38,2465.03,3
1324598400,3.088,2.93,3,2892.08,8783.45,3.07
1324684800,3.065,3.02,3.07,150.23,453.85,3.02
1324771200,3.345,2.96,3.02,1039.11,3260.92,3.28
1324857600,3.332,2.999,3.28,642.63,2070.96,3.12
1324944000,3.187,3.034,3.12,2885.84,9101.85,3.11
1325030400,3.28,3.1,3.11,955.64,3032.85,3.28
1325116800,3.3,3.21,3.28,183.36,589.94,3.21
1325203200,3.378,3.211,3.21,3093.13,10277.23,3.378
1325289600,3.82,3.3,3.378,919.09,3262.19,3.548
1325376000,4.21,3.553,3.548,1347.83,5343.22,4.107
1325462400,4.3,3.802,4.107,1255.56,5193.76,4.018
1325548800,4.151,3.621,4.018,1803.96,7032.63,3.7
1325635200,4.411,3.7,3.7,2212.46,9072.1,4.234
1325721600,5.469,4.224,4.234,3068.27,14582.36,5.469
1325808000,5.711,4.9,5.469,3371.37,18117.46,5.2
1325894400,5.36,4.935,5.2,499.61,2535.34,5.25
1325980800,5.5,5.283,5.25,346.6,1883.35,5.432
1326067200,5.6,4.665,5.432,1449.17,7380.35,4.9
1326153600,5.28,4.831,4.9,2425.03,12459.24,5.2
1326240000,5.534,5.086,5.2,2261.78,12300.13,5.5
1326326400,5.591,5.1,5.5,1987.41,10690.51,5.28
1326412800,5.36,5.1,5.28,1067.75,5647.69,5.151
1326499200,5.453,4.998,5.151,4089.49,21249.61,5.31
1326585600,5.56,5.3,5.31,1327.53,7272.5,5.429
1326672000,5.6,5.125,5.429,2025.62,10944.55,5.165
1326758400,5.5,3.724,5.165,4866.34,23233.16,4.45
1326844800,5.32,4.096,4.45,1875.59,9023.37,4.508
1326931200,4.98,4.498,4.508,3416.71,16659.54,4.95
1327017600,5.2,4.879,4.95,2007.43,10056.7,5.05
1327104000,5.076,4.763,5.05,1752.28,8710.78,4.802
1327190400,5.01,4.801,4.802,1171.4,5806.61,5
1327276800,5.037,4.764,5,799.51,3861.47,4.93
1327363200,4.969,4.8,4.93,639.08,3138.04,4.953
1327449600,4.927,4.3,4.953,4518.13,21052.44,4.54
1327536000,4.59,4.194,4.54,1466.99,6383.48,4.237
1327622400,4.219,3.94,4.237,2517.4,10238.51,4.057
1327708800,4.437,3.907,4.057,1697.03,6980.64,4.402
1327795200,4.312,4.081,4.402,1167.78,4921.47,4.137
1327881600,4.3,4.106,4.137,553.77,2337.83,4.294
1327968000,4.34,4.207,4.294,476.07,2033.83,4.251
1328054400,4.699,4.147,4.251,1275.08,5626.24,4.699
1328140800,4.777,4.5,4.699,1812.84,8465.88,4.674
1328227200,4.67,4.479,4.674,555.92,2561.49,4.65
1328313600,4.62,4.5,4.65,191.49,873.38,4.53
1328400000,4.53,4.2,4.53,815.4,3536.85,4.38
1328486400,4.416,4.143,4.38,1781.1,7708.1,4.143
1328572800,4.4,4.23,4.143,1272.36,5512.11,4.392
1328659200,4.45,4.138,4.392,2076.96,8867.92,4.28
1328745600,4.401,4.273,4.28,541.21,2360.78,4.4
1328832000,4.589,4.361,4.4,1290.37,5829.13,4.564
1328918400,4.614,4.303,4.564,1686.09,7549.51,4.345
1329004800,4.461,4.16,4.345,1182.42,5131,4.282
1329091200,4.31,4.047,4.282,815.28,3382.18,4.09
1329177600,4.087,3.22,4.09,6190.24,22253.43,3.451
1329264000,3.698,3.2,3.451,2732.39,9333.9,3.2
1329350400,3.453,3.055,3.2,3677.54,12103.56,3.304
1329436800,3.58,3.292,3.304,1470.91,5096.68,3.292
1329523200,3.478,3.205,3.292,1326.5,4493.81,3.29
1329609600,3.457,3.205,3.29,736.54,2458.41,3.407
1329696000,3.441,3.3,3.407,1228.46,4188.77,3.372
1329782400,3.391,3.184,3.372,1702.74,5597.49,3.25
1329868800,3.5,3.26,3.25,3443.33,11880.1,3.464
1329955200,3.991,3.437,3.464,1152.67,4178.67,3.782
1330041600,3.869,3.65,3.782,2633.11,9981.29,3.851
1330128000,3.874,3.557,3.851,1172.75,4381.2,3.557
1330214400,3.81,3.567,3.557,913.57,3432.1,3.67
1330300800,3.801,3.688,3.67,454.66,1708.36,3.761
1330387200,3.79,3.616,3.761,1422.94,5282.59,3.636
1330473600,3.732,3.6,3.636,2654.94,9831.7,3.709
1330560000,3.798,3.71,3.709,1792.65,6759.69,3.752
1330646400,3.8,3.42,3.752,1542.38,5505.54,3.528
1330732800,3.64,3.427,3.528,433.19,1529.97,3.557
1330819200,3.75,3.519,3.557,436.69,1573.62,3.7
1330905600,3.835,3.638,3.7,999.8,3766.87,3.743
1330992000,3.9,3.655,3.743,1807.11,6866.49,3.84
1331078400,3.889,3.695,3.84,699.85,2667.35,3.834
1331164800,3.85,3.714,3.834,1963.1,7472.69,3.816
1331251200,3.828,3.714,3.816,1280.32,4841.48,3.788
1331337600,3.803,3.568,3.788,1791.84,6631.15,3.7
1331424000,3.773,3.563,3.7,482.91,1764.51,3.71
1331510400,3.808,3.602,3.71,1330.7,4920.36,3.65
1331596800,4.06,3.65,3.65,1881.74,7262.94,4.055
1331683200,4.26,4.01,4.055,1280.89,5346.86,4.23
1331769600,4.26,4.01,4.23,918.79,3810.32,4.109
1331856000,4.221,4.01,4.109,1862.64,7721.31,4.195
1331942400,4.209,3.979,4.195,1136.18,4656.11,4.083
1332028800,4.136,4.016,4.083,673.09,2754.62,4.1
1332115200,4.119,3.5,4.1,2664.41,10077.16,3.59
1332201600,3.774,3.59,3.59,1436.17,5327.59,3.757
1332288000,3.755,3.636,3.757,1011.97,3748.14,3.636
1332374400,3.762,3.567,3.636,2377.62,8784.14,3.602
1332460800,3.712,3.567,3.602,2407.84,8802.33,3.62
1332547200,3.651,3.557,3.62,1276.73,4606.88,3.59
